2015-07-06 15:30:04 INFO [13666:../src/transfer.c:262] Try to connect gnss tcp server
2015-07-06 15:30:04 INFO [13666:../src/transfer.c:162] Try to connect data source server
2015-07-06 15:30:04 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:05 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:06 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:07 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:08 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:09 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:10 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:11 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:12 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:13 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:14 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:15 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:16 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:17 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:18 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:19 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:20 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:21 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:22 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:23 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:24 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:25 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:26 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:27 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:28 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:29 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:30 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:31 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:32 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:33 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:34 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:35 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:36 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:37 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:38 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:39 WARN [13666:../src/transfer.c:181] Can't connect to data source server
2015-07-06 15:30:40 WARN [13666:../src/transfer.c:181] Can't connect to data source server
